HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,category,name,set,channel
,0.03511822132359995,0.01371522873478224,0.001681500503274512,9.784524984237742e-08,0.05051504840690654,8.156541558015324,0.27150778168723005,0.03328712049783195,-6.388068727483065,before_GA,GA-2022-12-19,offset,2
,0.04398117371949716,0.02899540200668084,0.0067517337886001715,4.0846708731761006e-07,0.07972871798186548,4.2945120341737315,0.3636757587557839,0.08468383738637152,-4.997955949509561,before_GA,GA-2022-12-19,offset,2
,0.03251736371972172,0.023450350825862405,0.003385990728918829,3.421688280872723e-07,0.05935404744333103,6.92569847447582,0.39509269941956193,0.05704734343772669,-5.688108733337899,before_GA,GA-2022-12-19,offset,2
,0.02504684629503129,0.01353661158887217,0.005403760264112367,3.735436275192911e-07,0.04398759169164334,2.50503555436609,0.3077370473874755,0.12284737709654972,-5.220660222541745,before_GA,GA-2022-12-19,offset,2
,0.013133219109772661,0.016392705873614993,0.004526124771876803,1.4631604378038797e-07,0.03405219607130824,3.621797166412978,0.48139937404586924,0.13291726508324772,-5.397889164347682,before_GA,GA-2022-12-19,offset,2
,0.029735549359342597,0.11830206123571593,0.1126930387754522,6.044894640368977e-06,0.26073669426515106,1.0497725726558857,0.4537223330576209,0.43221012329339126,-2.1830876275863287,before_GA,GA-2022-12-19,offset,2
,0.0109288439892168,0.07538490971428076,0.06077586361588001,3.889015227141822e-06,0.14709350633460472,1.2403757878412702,0.5124965173023819,0.413178427317033,-2.80056254882941,before_GA,GA-2022-12-19,onset,2
,0.01453406475970043,0.03701027370261574,0.053030370362133636,0.0004814037277788834,0.10505611255222869,0.6979071322693032,0.3522905312550573,0.5047813884772251,-2.936890503845915,before_GA,GA-2022-12-19,onset,2
,0.01697997900058869,0.014720255148662407,0.0040143044053732755,7.853684185777272e-07,0.03571532392304295,3.66695040091102,0.41215516287576315,0.11239725597961919,-5.517891195565781,before_GA,GA-2022-12-19,onset,2
,0.013516566457003436,0.13872765464974865,0.23542762374407286,0.0007579341782198881,0.38842977902904485,0.5892581866287526,0.35714989462580643,0.6061008616089364,-1.446351742935049,before_GA,GA-2022-12-19,onset,2
,0.01377279504044383,0.06948169917322192,0.07990730483618688,0.0006748857675957141,0.16383668481744834,0.869528753543398,0.4240912177308792,0.48772535238504094,-2.5268880056556418,before_GA,GA-2022-12-19,onset,2
,0.00423442805915548,0.0071284438421283835,0.004715645550670477,1.2426779927013092e-05,0.016090944231881357,1.5116581103333457,0.4430096667667665,0.2930620778193526,-5.356869458022492,before_GA,GA-2022-12-19,onset,2
,0.01287667183730474,0.013740370254012802,0.011195222826670227,7.348742627128542e-08,0.03781233840541404,1.2273422750710514,0.3633832456139616,0.29607327393079913,-4.492268125005321,after_GA,GA-2022-12-19,offset,2
,0.004406488627488225,0.011702778424982936,0.005379139271165798,3.7365928013836543e-08,0.021488443689564974,2.1755856903936683,0.544608003913561,0.25032707574713603,-5.225226904379849,after_GA,GA-2022-12-19,offset,2
,0.0256684719716124,0.007355134061437023,0.00422814737800132,5.267801820612763e-06,0.037257021212871354,1.7395642592084515,0.19741605265254034,0.11348592132053227,-5.465991353965452,after_GA,GA-2022-12-19,offset,2
,0.05398703365980075,0.041265586185551414,0.025069600673068956,1.0629663300185658e-06,0.12032328348475113,1.64604082544805,0.3429559515867193,0.20835203251618453,-3.6860992954162994,after_GA,GA-2022-12-19,offset,2
,0.07275637993958363,0.139364399762338,0.07840494485671608,2.701658333764267e-06,0.29052842621697145,1.7774950293890832,0.4796928189679393,0.26987013242608476,-2.5458682814627487,after_GA,GA-2022-12-19,offset,2
,0.00851116397647859,0.01904945496316472,0.034697044046856,3.1536633026384274e-07,0.06225797835282958,0.5490224163603021,0.3059761249426908,0.5573108052147191,-3.361100781627422,after_GA,GA-2022-12-19,offset,2
,0.058900307940220165,0.024462667113108086,0.011688462419683064,9.211507055035646e-06,0.09506064898006635,2.092890085518314,0.25733747218828434,0.12295794889990774,-4.449153041688444,after_GA,GA-2022-12-19,onset,2
,0.007091862435657945,0.011559324929677501,0.015006006338463568,4.0261081853920776e-05,0.03369745478565293,0.7703132111872102,0.3430325822292968,0.4453157199532038,-4.19930473546341,after_GA,GA-2022-12-19,onset,2
,0.011100394239164044,0.02097460105086444,0.00977621833118361,3.387019480709699e-05,0.04188508381601919,2.145471831777824,0.5007654071553411,0.2334057244370283,-4.627802543416072,after_GA,GA-2022-12-19,onset,2
,0.0067073964873956326,0.004181590069109144,0.001649428255332909,1.4371722222015924e-07,0.012538558529059905,2.5351754801030504,0.33349846869699656,0.13154847517042112,-6.407326563038224,after_GA,GA-2022-12-19,onset,2
,0.02015438767453972,0.049329155991579055,0.01748458142160646,3.928209589017957e-06,0.08697205329731425,2.8212946482448165,0.5671839875154744,0.2010367785826024,-4.0464358480380795,after_GA,GA-2022-12-19,onset,2
,0.007752935179955914,0.06817313105872329,0.08236384151817833,1.8768492519175804e-06,0.15829178460610946,0.82770703505466,0.4306801596075509,0.5203292244327846,-2.4966087549018208,after_GA,GA-2022-12-19,onset,2
,0.0068049126690242455,0.00381324005210262,0.0012477670471276834,1.062894912103291e-08,0.011865930397203671,3.0560512564268842,0.32136039269211025,0.10515543285351922,-6.686399687413608,before_GA,GA-2023-01-16,onset,2
,0.053869347555109526,0.1237052010471613,0.027373154239325837,5.084633309018777e-06,0.20495278747490572,4.519216162141787,0.6035790123728261,0.13355834080898943,-3.5981925181661008,before_GA,GA-2023-01-16,onset,2
